Suburb,Rooms,Type,Price,Date,Regionname,Distance,CouncilArea
"Vermont South",4,"h",1142000,"8/10/2016","Eastern Metropolitan",17.2,"Whitehorse City Council"
"Wantirna",3,"h",600000,"8/10/2016","Eastern Metropolitan",14.7,"Knox City Council"
"Wantirna",5,"h",940000,"8/10/2016","Eastern Metropolitan",14.7,"Knox City Council"
"Wantirna South",4,"h",1050000,"8/10/2016","Eastern Metropolitan",14.7,"Knox City Council"
"Wantirna South",4,"h",1071000,"8/10/2016","Eastern Metropolitan",14.7,"Knox City Council"
"Watsonia",3,"h",582000,"8/10/2016","Northern Metropolitan",14.5,"Banyule City Council"
"West Footscray",2,"h",438000,"8/10/2016","Western Metropolitan",6.4,"Maribyrnong City Council"
"West Footscray",2,"h",360000,"8/10/2016","Western Metropolitan",6.4,"Maribyrnong City Council"
"West Melbourne",2,"t",1055000,"8/10/2016","Northern Metropolitan",3.1,"Melbourne City Council"
"Westmeadows",4,"h",600000,"8/10/2016","Northern Metropolitan",16.5,"Hume City Council"
"Westmeadows",3,"h",355000,"8/10/2016","Northern Metropolitan",16.5,"Hume City Council"
"Westmeadows",3,"t",420000,"8/10/2016","Northern Metropolitan",16.5,"Hume City Council"
"Wheelers Hill",5,"h",2050000,"8/10/2016","South-Eastern Metropolitan",16.7,"Monash City Council"
"Wheelers Hill",3,"h",971000,"8/10/2016","South-Eastern Metropolitan",16.7,"Monash City Council"
"Williamstown",4,"h",1085000,"8/10/2016","Western Metropolitan",6.8,"Hobsons Bay City Council"
"Williamstown",4,"h",1815000,"8/10/2016","Western Metropolitan",6.8,"Hobsons Bay City Council"
"Williamstown",3,"h",1470000,"8/10/2016","Western Metropolitan",6.8,"Hobsons Bay City Council"
"Williamstown North",2,"u",400000,"8/10/2016","Western Metropolitan",6.8,"Hobsons Bay City Council"
"Williamstown North",5,"h",1410000,"8/10/2016","Western Metropolitan",6.8,"Hobsons Bay City Council"
"Wollert",4,"h",590000,"8/10/2016","Northern Metropolitan",25.5,"Whittlesea City Council"
"Wollert",4,"h",435000,"8/10/2016","Northern Metropolitan",25.5,"Whittlesea City Council"
"Yarraville",5,"h",1815000,"8/10/2016","Western Metropolitan",6.3,"Maribyrnong City Council"
"Yarraville",2,"h",630000,"8/10/2016","Western Metropolitan",6.3,"Maribyrnong City Council"
"Yarraville",4,"h",1870000,"8/10/2016","Western Metropolitan",6.3,"Maribyrnong City Council"
"Avondale Heights",3,"h",838000,"9/06/2018","Western Metropolitan",9.5,"Moonee Valley City Council"
"Bentleigh East",4,"h",1588000,"9/06/2018","Southern Metropolitan",13.8,"Glen Eira City Council"
"Bonbeach",4,"h",1105000,"9/06/2018","South-Eastern Metropolitan",27,"Kingston City Council"
"Boronia",3,"h",760000,"9/06/2018","Eastern Metropolitan",25,"Knox City Council"
"Broadmeadows",3,"h",662000,"9/06/2018","Northern Metropolitan",14,"Hume City Council"
"Broadmeadows",2,"h",579000,"9/06/2018","Northern Metropolitan",14,"Hume City Council"
"Bulleen",4,"h",1250000,"9/06/2018","Eastern Metropolitan",10.8,"Manningham City Council"
"Burwood East",4,"h",1160000,"9/06/2018","Eastern Metropolitan",14.7,"Whitehorse City Council"
"Burwood East",3,"h",1067000,"9/06/2018","Eastern Metropolitan",14.7,"Whitehorse City Council"
"Carrum",2,"t",600000,"9/06/2018","South-Eastern Metropolitan",31.2,"Kingston City Council"
"Clayton South",5,"h",966000,"9/06/2018","South-Eastern Metropolitan",17.5,"Kingston City Council"
"Coburg",3,"h",1370000,"9/06/2018","Northern Metropolitan",6.7,"Darebin City Council"
"Coburg North",2,"t",520000,"9/06/2018","Northern Metropolitan",6.7,"Darebin City Council"
"Craigieburn",4,"h",610000,"9/06/2018","Northern Metropolitan",20.6,"Hume City Council"
"Craigieburn",4,"h",643000,"9/06/2018","Northern Metropolitan",20.6,"Hume City Council"
"Craigieburn",3,"h",491000,"9/06/2018","Northern Metropolitan",20.6,"Hume City Council"
"Croydon",4,"h",1010000,"9/06/2018","Eastern Metropolitan",23,"Maroondah City Council"
"Dandenong",2,"u",310000,"9/06/2018","South-Eastern Metropolitan",24.7,"Greater Dandenong City Council"
"Dandenong North",3,"h",585000,"9/06/2018","South-Eastern Metropolitan",24.7,"Greater Dandenong City Council"
"East Melbourne",3,"u",1275000,"9/06/2018","Northern Metropolitan",1.3,"Melbourne City Council"
"Edithvale",3,"u",700000,"9/06/2018","South-Eastern Metropolitan",27,"Kingston City Council"
"Elsternwick",3,"h",1950000,"9/06/2018","Southern Metropolitan",7.2,"Glen Eira City Council"
"Elwood",1,"u",436000,"9/06/2018","Southern Metropolitan",7.2,"Port Phillip City Council"
"Epping",3,"h",638000,"9/06/2018","Northern Metropolitan",19.6,"Whittlesea City Council"
"Epping",5,"h",600000,"9/06/2018","Northern Metropolitan",19.6,"Whittlesea City Council"
"Fawkner",3,"h",641000,"9/06/2018","Northern Metropolitan",13.1,"Hume City Council"
"Ferntree Gully",4,"h",830000,"9/06/2018","Eastern Metropolitan",24.8,"Knox City Council"
"Fitzroy",1,"u",477500,"9/06/2018","Northern Metropolitan",2.1,"Yarra City Council"
"Fitzroy North",2,"h",1300000,"9/06/2018","Northern Metropolitan",3.6,"Moreland City Council"
"Footscray",3,"t",580000,"9/06/2018","Western Metropolitan",5.1,"Maribyrnong City Council"
"Glen Iris",4,"h",1900000,"9/06/2018","Southern Metropolitan",7.3,"Boroondara City Council"
"Glen Waverley",3,"h",1005000,"9/06/2018","Eastern Metropolitan",16.7,"Monash City Council"
"Greenvale",4,"h",667000,"9/06/2018","Northern Metropolitan",20.4,"Hume City Council"
"Greenvale",4,"h",802000,"9/06/2018","Northern Metropolitan",20.4,"Hume City Council"
"Highett",2,"u",585000,"9/06/2018","Southern Metropolitan",16,"Bayside City Council"
"Hillside",4,"h",680000,"9/06/2018","Western Metropolitan",18,"Brimbank City Council"
"Hoppers Crossing",3,"h",520000,"9/06/2018","Western Metropolitan",18.4,"Wyndham City Council"
"Hoppers Crossing",2,"h",365000,"9/06/2018","Western Metropolitan",18.4,"Wyndham City Council"
"Hoppers Crossing",3,"h",550000,"9/06/2018","Western Metropolitan",18.4,"Wyndham City Council"
"Hughesdale",3,"h",1355000,"9/06/2018","Southern Metropolitan",12.3,"Monash City Council"
"Ivanhoe East",4,"h",1950000,"9/06/2018","Eastern Metropolitan",7.8,"Banyule City Council"
"Keilor Downs",3,"h",660000,"9/06/2018","Western Metropolitan",15.5,"Brimbank City Council"
"Keilor East",2,"u",485000,"9/06/2018","Western Metropolitan",11.7,"Brimbank City Council"
"Keilor East",3,"h",980000,"9/06/2018","Western Metropolitan",11.7,"Brimbank City Council"
"Kensington",3,"h",1100000,"9/06/2018","Northern Metropolitan",3.4,"Melbourne City Council"
"Lyndhurst",4,"h",902000,"9/06/2018","South-Eastern Metropolitan",33.8,"Casey City Council"
"Maribyrnong",2,"u",390000,"9/06/2018","Western Metropolitan",4.3,"Maribyrnong City Council"
"Melton",3,"h",418000,"9/06/2018","Western Victoria",31.7,"Melton City Council"
"Mentone",3,"u",766000,"9/06/2018","South-Eastern Metropolitan",20,"Kingston City Council"
"Mitcham",2,"t",670000,"9/06/2018","Eastern Metropolitan",17.2,"Whitehorse City Council"
"Mitcham",3,"h",1100000,"9/06/2018","Eastern Metropolitan",17.2,"Whitehorse City Council"
"Mooroolbark",3,"h",941000,"9/06/2018","Eastern Victoria",26.5,"Yarra Ranges Shire Council"
"Mooroolbark",3,"h",640000,"9/06/2018","Eastern Victoria",26.5,"Yarra Ranges Shire Council"
"Mount Waverley",3,"h",1610000,"9/06/2018","Eastern Metropolitan",14.2,"Monash City Council"
"Niddrie",2,"u",442500,"9/06/2018","Western Metropolitan",10.4,"Moonee Valley City Council"
"Oak Park",3,"h",800000,"9/06/2018","Northern Metropolitan",11.2,"Moreland City Council"
"Oakleigh",3,"h",980000,"9/06/2018","Southern Metropolitan",12.3,"Monash City Council"
"Oakleigh East",3,"u",720000,"9/06/2018","Southern Metropolitan",12.3,"Monash City Council"
"Oakleigh South",3,"u",780000,"9/06/2018","South-Eastern Metropolitan",15.5,"Kingston City Council"
"Plumpton",3,"h",615000,"9/06/2018","Western Metropolitan",23.8,"Melton City Council"
"Reservoir",3,"h",700000,"9/06/2018","Northern Metropolitan",12,"Darebin City Council"
"Reservoir",1,"u",291000,"9/06/2018","Northern Metropolitan",12,"Darebin City Council"
"Reservoir",2,"t",492500,"9/06/2018","Northern Metropolitan",12,"Darebin City Council"
"Reservoir",3,"h",600000,"9/06/2018","Northern Metropolitan",12,"Darebin City Council"
"Ringwood East",3,"u",720000,"9/06/2018","Eastern Metropolitan",21.3,"Maroondah City Council"
"Seaholme",3,"h",850000,"9/06/2018","Western Metropolitan",11,"Hobsons Bay City Council"
"South Morang",3,"h",634000,"9/06/2018","Northern Metropolitan",20.5,"Whittlesea City Council"
"South Morang",3,"h",565000,"9/06/2018","Northern Metropolitan",20.5,"Whittlesea City Council"
"Southbank",2,"u",451500,"9/06/2018","Southern Metropolitan",0.7,"Melbourne City Council"
"St Albans",4,"h",970000,"9/06/2018","Western Metropolitan",14,"Brimbank City Council"
"Strathmore",3,"h",1240000,"9/06/2018","Western Metropolitan",8.2,"Moonee Valley City Council"
"Sunshine West",3,"h",576000,"9/06/2018","Western Metropolitan",10.5,"Brimbank City Council"
"Sunshine West",3,"h",660000,"9/06/2018","Western Metropolitan",10.5,"Brimbank City Council"
"Sunshine West",6,"h",970000,"9/06/2018","Western Metropolitan",10.5,"Brimbank City Council"
"Taylors Hill",3,"h",814000,"9/06/2018","Western Metropolitan",18,"Melton City Council"
"Tecoma",3,"h",750000,"9/06/2018","Eastern Victoria",30.4,"Yarra Ranges Shire Council"
"Vermont South",3,"t",672000,"9/06/2018","Eastern Metropolitan",17.2,"Whitehorse City Council"
"Wantirna South",4,"h",1090000,"9/06/2018","Eastern Metropolitan",14.7,"Knox City Council"
"Werribee",3,"h",445000,"9/06/2018","Western Metropolitan",14.7,"Wyndham City Council"
"Werribee",3,"h",490000,"9/06/2018","Western Metropolitan",14.7,"Wyndham City Council"
"Wheelers Hill",4,"h",1076000,"9/06/2018","South-Eastern Metropolitan",16.7,"Monash City Council"
"Wheelers Hill",4,"h",890000,"9/06/2018","South-Eastern Metropolitan",16.7,"Monash City Council"
"Williamstown",4,"h",2000000,"9/06/2018","Western Metropolitan",6.8,"Hobsons Bay City Council"
"Williamstown",3,"h",2062000,"9/06/2018","Western Metropolitan",6.8,"Hobsons Bay City Council"
"Williamstown",2,"h",812500,"9/06/2018","Western Metropolitan",6.8,"Hobsons Bay City Council"
"Wyndham Vale",3,"h",530000,"9/06/2018","Western Metropolitan",27.2,"Wyndham City Council"
"Aberfeldie",3,"h",1195000,"9/09/2017","Western Metropolitan",7.5,"Moonee Valley City Council"
"Airport West",3,"h",1000001,"9/09/2017","Western Metropolitan",10.4,"Moonee Valley City Council"
"Airport West",3,"h",1064000,"9/09/2017","Western Metropolitan",10.4,"Moonee Valley City Council"
"Albanvale",3,"h",540000,"9/09/2017","Western Metropolitan",14,"Brimbank City Council"
"Albert Park",4,"h",2720000,"9/09/2017","Southern Metropolitan",3,"Port Phillip City Council"
"Albert Park",2,"t",1440000,"9/09/2017","Southern Metropolitan",3,"Port Phillip City Council"
"Albion",3,"u",675000,"9/09/2017","Western Metropolitan",10.5,"Brimbank City Council"
"Alphington",3,"h",1170000,"9/09/2017","Northern Metropolitan",5.7,"Darebin City Council"
"Altona",2,"u",458000,"9/09/2017","Western Metropolitan",11,"Hobsons Bay City Council"
"Ascot Vale",3,"h",870000,"9/09/2017","Western Metropolitan",4.3,"Moonee Valley City Council"
"Ascot Vale",3,"u",870000,"9/09/2017","Western Metropolitan",4.3,"Moonee Valley City Council"
"Ascot Vale",4,"t",850000,"9/09/2017","Western Metropolitan",4.3,"Moonee Valley City Council"
"Ascot Vale",1,"u",355500,"9/09/2017","Western Metropolitan",4.3,"Moonee Valley City Council"
"Ascot Vale",5,"h",1850000,"9/09/2017","Western Metropolitan",4.3,"Moonee Valley City Council"
"Ashburton",4,"h",1550000,"9/09/2017","Southern Metropolitan",10.2,"Boroondara City Council"
"Ashwood",4,"t",1020000,"9/09/2017","Southern Metropolitan",10.2,"Monash City Council"
"Ashwood",3,"h",1200000,"9/09/2017","Southern Metropolitan",10.2,"Monash City Council"
"Aspendale",3,"h",780000,"9/09/2017","South-Eastern Metropolitan",21.5,"Kingston City Council"
"Aspendale Gardens",3,"h",880000,"9/09/2017","South-Eastern Metropolitan",21.5,"Kingston City Council"
"Aspendale Gardens",4,"h",830000,"9/09/2017","South-Eastern Metropolitan",21.5,"Kingston City Council"
"Attwood",3,"h",640000,"9/09/2017","Northern Metropolitan",16.5,"Hume City Council"
"Balwyn",2,"u",1005000,"9/09/2017","Southern Metropolitan",7.9,"Boroondara City Council"
"Balwyn",2,"u",590000,"9/09/2017","Southern Metropolitan",7.9,"Boroondara City Council"
"Balwyn",4,"h",2250000,"9/09/2017","Southern Metropolitan",7.9,"Boroondara City Council"
"Balwyn",3,"u",1455000,"9/09/2017","Southern Metropolitan",7.9,"Boroondara City Council"
"Balwyn",5,"h",2750000,"9/09/2017","Southern Metropolitan",7.9,"Boroondara City Council"
"Balwyn",5,"h",2936000,"9/09/2017","Southern Metropolitan",7.9,"Boroondara City Council"
"Balwyn North",4,"h",1950000,"9/09/2017","Southern Metropolitan",9.7,"Boroondara City Council"
"Balwyn North",4,"h",1790000,"9/09/2017","Southern Metropolitan",9.7,"Boroondara City Council"
"Balwyn North",4,"h",2000000,"9/09/2017","Southern Metropolitan",9.7,"Boroondara City Council"
"Bayswater North",4,"h",900000,"9/09/2017","Eastern Metropolitan",23.2,"Maroondah City Council"
"Beaumaris",2,"h",885000,"9/09/2017","Southern Metropolitan",17.3,"Bayside City Council"
"Beaumaris",3,"h",1750000,"9/09/2017","Southern Metropolitan",17.3,"Bayside City Council"
"Beaumaris",3,"h",1354000,"9/09/2017","Southern Metropolitan",17.3,"Bayside City Council"
"Beaumaris",2,"t",865000,"9/09/2017","Southern Metropolitan",17.3,"Bayside City Council"
"Bentleigh",3,"h",1532000,"9/09/2017","Southern Metropolitan",11.4,"Glen Eira City Council"
"Bentleigh",3,"h",1175000,"9/09/2017","Southern Metropolitan",11.4,"Glen Eira City Council"
"Bentleigh",4,"t",1210000,"9/09/2017","Southern Metropolitan",11.4,"Glen Eira City Council"
"Bentleigh",2,"u",818000,"9/09/2017","Southern Metropolitan",11.4,"Glen Eira City Council"
"Bentleigh",3,"h",1362000,"9/09/2017","Southern Metropolitan",11.4,"Glen Eira City Council"
"Bentleigh",4,"h",1677500,"9/09/2017","Southern Metropolitan",11.4,"Glen Eira City Council"
"Bentleigh",4,"h",2151000,"9/09/2017","Southern Metropolitan",11.4,"Glen Eira City Council"
"Bentleigh East",3,"h",1111000,"9/09/2017","Southern Metropolitan",13.8,"Glen Eira City Council"
"Bentleigh East",3,"h",1285000,"9/09/2017","Southern Metropolitan",13.8,"Glen Eira City Council"
"Bentleigh East",3,"h",980000,"9/09/2017","Southern Metropolitan",13.8,"Glen Eira City Council"
"Black Rock",4,"h",1720000,"9/09/2017","Southern Metropolitan",17.3,"Bayside City Council"
"Black Rock",4,"h",2000000,"9/09/2017","Southern Metropolitan",17.3,"Bayside City Council"
"Blackburn",3,"h",1390000,"9/09/2017","Eastern Metropolitan",13.4,"Whitehorse City Council"
"Blackburn",3,"h",1490000,"9/09/2017","Eastern Metropolitan",13.4,"Whitehorse City Council"
"Blackburn North",4,"h",1151000,"9/09/2017","Eastern Metropolitan",13.4,"Whitehorse City Council"
"Boronia",3,"h",701000,"9/09/2017","Eastern Metropolitan",25,"Knox City Council"
"Braybrook",3,"h",834500,"9/09/2017","Western Metropolitan",8.6,"Maribyrnong City Council"
"Briar Hill",3,"h",692000,"9/09/2017","Eastern Metropolitan",16.1,"Banyule City Council"
"Brighton",2,"u",1640000,"9/09/2017","Southern Metropolitan",10.5,"Bayside City Council"
"Brighton",3,"h",1850000,"9/09/2017","Southern Metropolitan",10.5,"Bayside City Council"
"Brighton",3,"t",2900000,"9/09/2017","Southern Metropolitan",10.5,"Bayside City Council"
"Broadmeadows",2,"u",400000,"9/09/2017","Northern Metropolitan",14,"Hume City Council"
"Broadmeadows",3,"h",649000,"9/09/2017","Northern Metropolitan",14,"Hume City Council"
"Broadmeadows",3,"u",477000,"9/09/2017","Northern Metropolitan",14,"Hume City Council"
"Broadmeadows",4,"h",753000,"9/09/2017","Northern Metropolitan",14,"Hume City Council"
"Brunswick",3,"h",850000,"9/09/2017","Northern Metropolitan",5.2,"Moreland City Council"
"Brunswick",2,"u",453650,"9/09/2017","Northern Metropolitan",5.2,"Moreland City Council"
"Brunswick",3,"t",870000,"9/09/2017","Northern Metropolitan",5.2,"Moreland City Council"
"Brunswick",2,"h",950000,"9/09/2017","Northern Metropolitan",5.2,"Moreland City Council"
"Brunswick East",1,"u",463000,"9/09/2017","Northern Metropolitan",4,"Moreland City Council"
"Brunswick West",3,"h",875000,"9/09/2017","Northern Metropolitan",5.2,"Moreland City Council"
"Brunswick West",4,"h",1250000,"9/09/2017","Northern Metropolitan",5.2,"Moreland City Council"
"Brunswick West",1,"u",315500,"9/09/2017","Northern Metropolitan",5.2,"Moreland City Council"
"Brunswick West",2,"h",1225000,"9/09/2017","Northern Metropolitan",5.2,"Moreland City Council"
"Bulleen",3,"h",980000,"9/09/2017","Eastern Metropolitan",10.8,"Manningham City Council"
"Bundoora",3,"u",580000,"9/09/2017","Northern Metropolitan",12.1,"Banyule City Council"
"Bundoora",3,"h",830000,"9/09/2017","Northern Metropolitan",12.1,"Banyule City Council"
"Bundoora",4,"h",758000,"9/09/2017","Northern Metropolitan",12.1,"Banyule City Council"
"Burnley",1,"u",370000,"9/09/2017","Northern Metropolitan",2.4,"Yarra City Council"
"Burwood",4,"h",1750000,"9/09/2017","Southern Metropolitan",10.4,"Monash City Council"
"Cairnlea",3,"h",670000,"9/09/2017","Western Metropolitan",14.8,"Brimbank City Council"
"Camberwell",2,"h",2410000,"9/09/2017","Southern Metropolitan",7.7,"Boroondara City Council"
"Camberwell",2,"u",752500,"9/09/2017","Southern Metropolitan",7.7,"Boroondara City Council"
"Camberwell",4,"h",3100000,"9/09/2017","Southern Metropolitan",7.7,"Boroondara City Council"
"Canterbury",4,"h",3130000,"9/09/2017","Southern Metropolitan",8.4,"Boroondara City Council"
"Canterbury",4,"h",2650000,"9/09/2017","Southern Metropolitan",8.4,"Boroondara City Council"
"Canterbury",3,"h",1500000,"9/09/2017","Southern Metropolitan",8.4,"Boroondara City Council"
"Carlton",3,"h",1263000,"9/09/2017","Northern Metropolitan",1.6,"Melbourne City Council"
"Carlton",2,"h",800000,"9/09/2017","Northern Metropolitan",1.6,"Melbourne City Council"
"Carlton North",2,"h",1065000,"9/09/2017","Northern Metropolitan",3.5,"Melbourne City Council"
"Carlton North",2,"h",950000,"9/09/2017","Northern Metropolitan",3.5,"Melbourne City Council"
"Carnegie",2,"u",545000,"9/09/2017","Southern Metropolitan",10.1,"Glen Eira City Council"
"Carnegie",1,"u",353000,"9/09/2017","Southern Metropolitan",10.1,"Glen Eira City Council"
"Carrum",2,"h",890000,"9/09/2017","South-Eastern Metropolitan",31.2,"Kingston City Council"
"Caulfield",1,"u",341000,"9/09/2017","Southern Metropolitan",8.7,"Glen Eira City Council"
"Caulfield South",4,"h",1758000,"9/09/2017","Southern Metropolitan",8.7,"Glen Eira City Council"
"Caulfield South",2,"u",585000,"9/09/2017","Southern Metropolitan",8.7,"Glen Eira City Council"
"Chadstone",2,"h",970000,"9/09/2017","Southern Metropolitan",11.7,"Monash City Council"
"Chelsea",4,"h",930000,"9/09/2017","South-Eastern Metropolitan",27,"Kingston City Council"
"Cheltenham",3,"h",948000,"9/09/2017","Southern Metropolitan",17.9,"Bayside City Council"
"Clayton South",3,"h",850000,"9/09/2017","South-Eastern Metropolitan",17.5,"Kingston City Council"
"Clayton South",3,"h",985000,"9/09/2017","South-Eastern Metropolitan",17.5,"Kingston City Council"
"Clayton South",3,"h",1250500,"9/09/2017","South-Eastern Metropolitan",17.5,"Kingston City Council"
"Clayton South",3,"h",805000,"9/09/2017","South-Eastern Metropolitan",17.5,"Kingston City Council"
"Clifton Hill",2,"h",1320000,"9/09/2017","Northern Metropolitan",3.6,"Yarra City Council"
"Coburg",3,"h",1326000,"9/09/2017","Northern Metropolitan",6.7,"Darebin City Council"
"Coburg",3,"h",1010000,"9/09/2017","Northern Metropolitan",6.7,"Darebin City Council"
"Coburg",3,"t",875000,"9/09/2017","Northern Metropolitan",6.7,"Darebin City Council"
"Collingwood",2,"u",1250000,"9/09/2017","Northern Metropolitan",2,"Yarra City Council"
"Craigieburn",4,"h",595000,"9/09/2017","Northern Metropolitan",20.6,"Hume City Council"
"Cremorne",2,"h",1200000,"9/09/2017","Northern Metropolitan",2.4,"Yarra City Council"
"Croydon South",3,"h",1020000,"9/09/2017","Eastern Metropolitan",23,"Maroondah City Council"
"Dallas",4,"t",560500,"9/09/2017","Northern Metropolitan",14,"Hume City Council"
"Dallas",4,"h",680000,"9/09/2017","Northern Metropolitan",14,"Hume City Council"
"Dandenong",2,"u",320000,"9/09/2017","South-Eastern Metropolitan",24.7,"Greater Dandenong City Council"
"Deer Park",3,"h",530000,"9/09/2017","Western Metropolitan",14.8,"Brimbank City Council"
"Deer Park",3,"h",589000,"9/09/2017","Western Metropolitan",14.8,"Brimbank City Council"
"Derrimut",3,"h",630000,"9/09/2017","Western Metropolitan",14.7,"Brimbank City Council"
"Diamond Creek",4,"h",745000,"9/09/2017","Northern Victoria",21.8,"Nillumbik Shire Council"
"Dingley Village",4,"h",952000,"9/09/2017","South-Eastern Metropolitan",22.2,"Kingston City Council"
"Doncaster",4,"h",1255000,"9/09/2017","Eastern Metropolitan",12.4,"Manningham City Council"
"Doncaster",5,"h",1540500,"9/09/2017","Eastern Metropolitan",12.4,"Manningham City Council"
"Doncaster East",3,"h",1430000,"9/09/2017","Eastern Metropolitan",14.3,"Manningham City Council"
"Doncaster East",3,"h",1209000,"9/09/2017","Eastern Metropolitan",14.3,"Manningham City Council"
"Doncaster East",4,"h",1300000,"9/09/2017","Eastern Metropolitan",14.3,"Manningham City Council"
"Doncaster East",5,"h",1730000,"9/09/2017","Eastern Metropolitan",14.3,"Manningham City Council"
"Doncaster East",5,"h",1510000,"9/09/2017","Eastern Metropolitan",14.3,"Manningham City Council"
"Doncaster East",4,"h",1600000,"9/09/2017","Eastern Metropolitan",14.3,"Manningham City Council"
"Donvale",2,"u",718500,"9/09/2017","Eastern Metropolitan",16.1,"Manningham City Council"
"Doreen",3,"h",481000,"9/09/2017","Northern Victoria",25.9,"Nillumbik Shire Council"
"Doreen",5,"h",1100000,"9/09/2017","Northern Victoria",25.9,"Nillumbik Shire Council"
"Doveton",3,"h",568500,"9/09/2017","South-Eastern Metropolitan",28.8,"Casey City Council"
"Eaglemont",4,"h",1867000,"9/09/2017","Eastern Metropolitan",8.9,"Banyule City Council"
"Edithvale",3,"u",647500,"9/09/2017","South-Eastern Metropolitan",27,"Kingston City Council"
"Elsternwick",2,"h",1250000,"9/09/2017","Southern Metropolitan",7.2,"Glen Eira City Council"
"Eltham",2,"u",566000,"9/09/2017","Eastern Metropolitan",18,"Banyule City Council"
"Eltham",4,"h",967000,"9/09/2017","Eastern Metropolitan",18,"Banyule City Council"
"Eltham North",4,"h",950000,"9/09/2017","Eastern Metropolitan",18,"Banyule City Council"
"Elwood",3,"h",1400000,"9/09/2017","Southern Metropolitan",7.2,"Port Phillip City Council"
"Elwood",2,"h",1450000,"9/09/2017","Southern Metropolitan",7.2,"Port Phillip City Council"
"Epping",4,"h",640500,"9/09/2017","Northern Metropolitan",19.6,"Whittlesea City Council"
"Epping",2,"u",454000,"9/09/2017","Northern Metropolitan",19.6,"Whittlesea City Council"
"Epping",3,"h",375000,"9/09/2017","Northern Metropolitan",19.6,"Whittlesea City Council"
"Epping",3,"h",641000,"9/09/2017","Northern Metropolitan",19.6,"Whittlesea City Council"
"Epping",3,"h",555000,"9/09/2017","Northern Metropolitan",19.6,"Whittlesea City Council"
"Epping",2,"u",291000,"9/09/2017","Northern Metropolitan",19.6,"Whittlesea City Council"
"Essendon",3,"h",993000,"9/09/2017","Western Metropolitan",7.5,"Moonee Valley City Council"
"Essendon",3,"h",1527500,"9/09/2017","Western Metropolitan",7.5,"Moonee Valley City Council"
"Essendon West",3,"h",950000,"9/09/2017","Western Metropolitan",7.5,"Moonee Valley City Council"
"Fairfield",4,"h",1575000,"9/09/2017","Northern Metropolitan",5.7,"Darebin City Council"
"Fairfield",2,"u",508000,"9/09/2017","Northern Metropolitan",5.7,"Darebin City Council"
"Fawkner",2,"u",475000,"9/09/2017","Northern Metropolitan",13.1,"Hume City Council"
"Ferntree Gully",4,"h",820000,"9/09/2017","Eastern Metropolitan",24.8,"Knox City Council"
"Ferntree Gully",3,"h",797000,"9/09/2017","Eastern Metropolitan",24.8,"Knox City Council"
"Fitzroy",2,"h",1060000,"9/09/2017","Northern Metropolitan",2.1,"Yarra City Council"
"Fitzroy",3,"h",1750000,"9/09/2017","Northern Metropolitan",2.1,"Yarra City Council"
"Fitzroy North",4,"h",2000000,"9/09/2017","Northern Metropolitan",3.6,"Moreland City Council"
"Flemington",3,"h",820000,"9/09/2017","Northern Metropolitan",3.4,"Melbourne City Council"
"Flemington",2,"h",1225000,"9/09/2017","Northern Metropolitan",3.4,"Melbourne City Council"
"Footscray",2,"u",240000,"9/09/2017","Western Metropolitan",5.1,"Maribyrnong City Council"
"Footscray",2,"u",465000,"9/09/2017","Western Metropolitan",5.1,"Maribyrnong City Council"
"Footscray",2,"h",800000,"9/09/2017","Western Metropolitan",5.1,"Maribyrnong City Council"
"Frankston",3,"h",1010000,"9/09/2017","South-Eastern Metropolitan",38,"Frankston City Council"
"Frankston North",3,"h",464000,"9/09/2017","Eastern Victoria",36.9,"Frankston City Council"
"Frankston South",4,"h",830000,"9/09/2017","South-Eastern Metropolitan",38,"Frankston City Council"
"Gisborne",3,"h",690000,"9/09/2017","Northern Victoria",45.9,"Macedon Ranges Shire Council"
"Gisborne",4,"h",780000,"9/09/2017","Northern Victoria",45.9,"Macedon Ranges Shire Council"
"Gladstone Park",3,"h",660000,"9/09/2017","Western Metropolitan",12.9,"Hume City Council"
"Gladstone Park",3,"h",625000,"9/09/2017","Western Metropolitan",12.9,"Hume City Council"
"Gladstone Park",3,"h",695000,"9/09/2017","Western Metropolitan",12.9,"Hume City Council"
"Glen Iris",3,"h",2200000,"9/09/2017","Southern Metropolitan",7.3,"Boroondara City Council"
"Glen Iris",5,"h",3000000,"9/09/2017","Southern Metropolitan",7.3,"Boroondara City Council"
"Glen Iris",2,"u",652500,"9/09/2017","Southern Metropolitan",7.3,"Boroondara City Council"
"Glen Iris",3,"t",1520000,"9/09/2017","Southern Metropolitan",7.3,"Boroondara City Council"
"Glen Iris",2,"u",537000,"9/09/2017","Southern Metropolitan",7.3,"Boroondara City Council"
"Glen Iris",4,"h",3200000,"9/09/2017","Southern Metropolitan",7.3,"Boroondara City Council"
"Glen Iris",3,"u",1000000,"9/09/2017","Southern Metropolitan",7.3,"Boroondara City Council"
"Glen Iris",2,"t",965000,"9/09/2017","Southern Metropolitan",7.3,"Boroondara City Council"
"Glen Waverley",2,"u",515000,"9/09/2017","Eastern Metropolitan",16.7,"Monash City Council"
"Glen Waverley",3,"u",930000,"9/09/2017","Eastern Metropolitan",16.7,"Monash City Council"
"Glen Waverley",4,"h",1790000,"9/09/2017","Eastern Metropolitan",16.7,"Monash City Council"
"Glen Waverley",4,"t",1170000,"9/09/2017","Eastern Metropolitan",16.7,"Monash City Council"
